WORD,MPQA,TYPE,LEN,POS,STEM,P,PP,MP
annihilation,-1.0,strongsubj,1,noun,n,,negative,
animated,1.0,weaksubj,1,adj,n,,positive,
animosity,-1.0,strongsubj,1,noun,n,,negative,
annoy,-1.0,strongsubj,1,verb,y,,negative,
annoyance,-1.0,strongsubj,1,noun,n,,negative,
annoyed,-1.0,strongsubj,1,adj,n,,negative,
annoying,-1.0,strongsubj,1,adj,n,,negative,
annoying,-1.0,strongsubj,1,anypos,y,,negative,
annoyingly,-1.0,strongsubj,1,anypos,n,,negative,
anomalous,-1.0,weaksubj,1,adj,n,,negative,
anomaly,-1.0,weaksubj,1,noun,n,,negative,
antagonism,-1.0,strongsubj,1,noun,n,,negative,
antagonist,-1.0,weaksubj,1,noun,n,,negative,
antagonistic,-1.0,strongsubj,1,adj,n,,negative,
antagonize,-1.0,strongsubj,1,verb,y,,negative,
anti-,-1.0,strongsubj,1,noun,n,,negative,
anti-American,-1.0,strongsubj,1,adj,n,,negative,
anti-American,-1.0,strongsubj,1,noun,n,,negative,
anti-Israeli,-1.0,strongsubj,1,adj,n,,negative,
anti-Israeli,-1.0,strongsubj,1,noun,n,,negative,
anti-Semites,-1.0,strongsubj,1,adj,n,,negative,
anti-Semites,-1.0,strongsubj,1,noun,n,,negative,
anti-US,-1.0,strongsubj,1,adj,n,,negative,
anti-US,-1.0,strongsubj,1,noun,n,,negative,
anti-occupation,-1.0,strongsubj,1,adj,n,,negative,
anti-occupation,-1.0,strongsubj,1,noun,n,,negative,
anti-proliferation,-1.0,strongsubj,1,adj,n,,negative,
anti-proliferation,-1.0,strongsubj,1,noun,n,,negative,
anti-social,-1.0,strongsubj,1,adj,n,,negative,
anti-white,-1.0,strongsubj,1,adj,n,,negative,
anti-white,-1.0,strongsubj,1,noun,n,,negative,
antipathy,-1.0,strongsubj,1,noun,n,,negative,
antiquated,-1.0,strongsubj,1,adj,n,,negative,
antithetical,-1.0,strongsubj,1,adj,n,,negative,
antithetical,-1.0,strongsubj,1,noun,n,,negative,
anxieties,-1.0,strongsubj,1,noun,n,,negative,
anxiety,-1.0,strongsubj,1,noun,n,,negative,
anxious,-1.0,strongsubj,1,anypos,n,,negative,
anxiously,-1.0,strongsubj,1,anypos,n,,negative,
anxiousness,-1.0,strongsubj,1,noun,n,,negative,
anyhow,0.0,strongsubj,1,anypos,y,,neutral,
anyway,0.0,strongsubj,1,anypos,y,,neutral,
anyways,0.0,strongsubj,1,anypos,y,,neutral,
apathetic,-1.0,strongsubj,1,adj,n,,negative,
apathetic,-1.0,strongsubj,1,noun,n,,negative,
apathetically,-1.0,strongsubj,1,adverb,n,,negative,
apathy,-1.0,strongsubj,1,noun,n,,negative,
ape,-1.0,strongsubj,1,verb,y,,negative,
apocalypse,-1.0,strongsubj,1,noun,n,,negative,
apocalyptic,-1.0,strongsubj,1,adj,n,,negative,
apologist,-1.0,strongsubj,1,adj,n,,negative,
apologist,-1.0,strongsubj,1,noun,n,,negative,
apologists,-1.0,strongsubj,1,adj,n,,negative,
apologists,-1.0,strongsubj,1,noun,n,,negative,
apostle,1.0,strongsubj,1,adj,n,,positive,
apostle,1.0,strongsubj,1,noun,n,,positive,
apotheosis,1.0,strongsubj,1,adj,n,,positive,
apotheosis,1.0,strongsubj,1,noun,n,,positive,
appal,-1.0,strongsubj,1,verb,y,,negative,
appall,-1.0,strongsubj,1,adj,n,,negative,
appall,-1.0,strongsubj,1,anypos,y,,negative,
appall,-1.0,strongsubj,1,verb,y,,negative,
appalled,-1.0,strongsubj,1,adj,n,,negative,
appalling,-1.0,strongsubj,1,adj,n,,negative,
appallingly,-1.0,strongsubj,1,anypos,n,,negative,
apparent,0.0,weaksubj,1,anypos,y,,neutral,
apparently,0.0,weaksubj,1,anypos,y,,neutral,
appeal,1.0,weaksubj,1,adj,n,,positive,
appeal,1.0,weaksubj,1,noun,n,,positive,
appeal,1.0,weaksubj,1,verb,y,,positive,
appealing,1.0,strongsubj,1,adj,n,,positive,
appear,0.0,weaksubj,1,anypos,y,,neutral,
appearance,0.0,weaksubj,1,adj,n,,neutral,
appearance,0.0,weaksubj,1,noun,n,,neutral,
appease,1.0,weaksubj,1,verb,y,,positive,
applaud,1.0,strongsubj,1,verb,y,,positive,
appreciable,1.0,weaksubj,1,adj,n,,positive,
appreciate,1.0,strongsubj,1,verb,y,,positive,
appreciation,1.0,strongsubj,1,adj,n,,positive,
appreciation,1.0,strongsubj,1,noun,n,,positive,
appreciative,1.0,strongsubj,1,anypos,n,,positive,
appreciatively,1.0,strongsubj,1,anypos,y,,positive,
appreciativeness,1.0,strongsubj,1,anypos,y,,positive,
apprehend,0.0,weaksubj,1,verb,y,,neutral,
apprehension,-1.0,strongsubj,1,noun,n,,negative,
apprehensions,-1.0,strongsubj,1,adj,n,,negative,
apprehensions,-1.0,strongsubj,1,noun,n,,negative,
apprehensive,-1.0,strongsubj,1,adj,n,,negative,
apprehensive,-1.0,strongsubj,1,noun,n,,negative,
apprehensively,-1.0,strongsubj,1,anypos,y,,negative,
appropriate,1.0,weaksubj,1,adj,n,,positive,
approval,1.0,weaksubj,1,noun,n,,positive,
approve,1.0,weaksubj,1,verb,y,,positive,
apt,1.0,weaksubj,1,adj,n,,positive,
aptly,1.0,weaksubj,1,adverb,n,,positive,
aptitude,1.0,weaksubj,1,noun,n,,positive,
arbitrary,-1.0,strongsubj,1,adj,n,,negative,
arcane,-1.0,strongsubj,1,adj,n,,negative,
archaic,-1.0,strongsubj,1,adj,n,,negative,
ardent,1.0,strongsubj,1,adj,n,,positive,
ardently,1.0,strongsubj,1,anypos,n,,positive,
ardor,1.0,strongsubj,1,noun,n,,positive,
arduous,-1.0,strongsubj,1,adj,n,,negative,
arduously,-1.0,strongsubj,1,anypos,n,,negative,
aristocratic,1.0,weaksubj,1,adj,n,,positive,
argue,-1.0,strongsubj,1,verb,y,,negative,
argument,-1.0,weaksubj,1,adj,n,,negative,
argument,-1.0,weaksubj,1,noun,n,,negative,
argumentative,-1.0,strongsubj,1,anypos,y,,negative,
arguments,-1.0,weaksubj,1,adj,n,,negative,
arguments,-1.0,weaksubj,1,noun,n,,negative,
arousal,1.0,strongsubj,1,anypos,y,,positive,
arouse,1.0,strongsubj,1,verb,y,,positive,
arousing,1.0,strongsubj,1,anypos,y,,positive,
arresting,1.0,strongsubj,1,adj,n,,positive,
arrogance,-1.0,strongsubj,1,noun,n,,negative,
arrogant,-1.0,strongsubj,1,adj,n,,negative,
arrogant,-1.0,strongsubj,1,anypos,y,,negative,
arrogantly,-1.0,strongsubj,1,anypos,n,,negative,
arrogantly,-1.0,strongsubj,1,anypos,y,,negative,
articulate,1.0,strongsubj,1,adj,n,,positive,
artificial,-1.0,weaksubj,1,adj,n,,negative,
ascendant,1.0,strongsubj,1,adj,n,,positive,
ascendant,1.0,strongsubj,1,noun,n,,positive,
ascertainable,1.0,strongsubj,1,adj,n,,positive,
ascertainable,1.0,strongsubj,1,noun,n,,positive,
ashamed,-1.0,strongsubj,1,adj,n,,negative,
asinine,-1.0,strongsubj,1,adj,n,,negative,
asininely,-1.0,strongsubj,1,adverb,n,,negative,
asinininity,-1.0,strongsubj,1,noun,n,,negative,
askance,-1.0,strongsubj,1,adverb,n,,negative,
asperse,-1.0,strongsubj,1,verb,y,,negative,
aspersion,-1.0,strongsubj,1,noun,n,,negative,
aspersions,-1.0,strongsubj,1,noun,n,,negative,
aspiration,1.0,strongsubj,1,noun,n,,positive,
aspirations,1.0,strongsubj,1,adj,n,,positive,
aspirations,1.0,strongsubj,1,noun,n,,positive,
aspire,1.0,strongsubj,1,verb,y,,positive,
assail,-1.0,weaksubj,1,verb,y,,negative,
assassinate,-1.0,weaksubj,1,verb,y,,negative,
assassin,-1.0,strongsubj,1,noun,n,,negative,
assault,-1.0,weaksubj,1,adj,n,,negative,
assault,-1.0,weaksubj,1,noun,n,,negative,
assent,1.0,strongsubj,1,verb,y,,positive,
assertions,1.0,strongsubj,1,adj,n,,positive,
assertions,1.0,strongsubj,1,noun,n,,positive,
assertive,1.0,weaksubj,1,adj,n,,positive,
assess,0.0,strongsubj,1,verb,y,,neutral,
assessment,0.0,weaksubj,1,adj,n,,neutral,
assessment,0.0,weaksubj,1,noun,n,,neutral,
assessments,0.0,weaksubj,1,adj,n,,neutral,
assessments,0.0,weaksubj,1,noun,n,,neutral,
asset,1.0,weaksubj,1,noun,n,,positive,
assiduous,1.0,strongsubj,1,adj,n,,positive,
assiduously,1.0,strongsubj,1,adverb,n,,positive,
assuage,1.0,weaksubj,1,verb,y,,positive,
assumption,0.0,weaksubj,1,adj,n,,neutral,
assumption,0.0,weaksubj,1,noun,n,,neutral,
assurance,1.0,weaksubj,1,adj,n,,positive,
