WORD,VADER,STD
appalls,-0.475,1.37477
appease,0.275,0.9434
appeased,0.225,0.53852
appeases,0.225,0.53852
appeasing,0.25,1.09545
applaud,0.5,0.63246
applauded,0.375,0.5
applauding,0.525,0.83066
applauds,0.35,0.66332
applause,0.45,0.6
appreciate,0.425,0.78102
appreciated,0.575,0.78102
appreciates,0.575,0.9
appreciating,0.475,0.7
appreciation,0.575,0.9
appreciations,0.425,0.78102
appreciative,0.65,0.8
appreciatively,0.45,0.6
appreciativeness,0.4,0.8
appreciator,0.65,0.8
appreciators,0.375,0.80623
appreciatory,0.425,0.78102
apprehensible,0.275,1.04403
apprehensibly,-0.05,1.16619
apprehension,-0.525,0.83066
apprehensions,-0.225,1.04403
apprehensively,-0.075,1.18743
apprehensiveness,-0.175,0.9
approval,0.525,0.53852
approved,0.45,0.6
approves,0.425,0.64031
ardent,0.525,0.7
arguable,-0.25,0.63246
arguably,-0.25,1.09545
argue,-0.35,0.66332
argued,-0.375,0.5
arguer,-0.4,0.4899
arguers,-0.35,0.4899
argues,-0.4,0.4899
arguing,-0.5,0.63246
argument,-0.375,0.80623
argumentative,-0.375,0.67082
argumentatively,-0.45,0.9798
argumentive,-0.375,0.80623
arguments,-0.425,0.64031
arrest,-0.35,1.42829
arrested,-0.525,1.04403
arrests,-0.475,0.83066
arrogance,-0.6,0.66332
arrogances,-0.475,0.53852
arrogant,-0.55,0.6
arrogantly,-0.45,1.4
ashamed,-0.525,1.3
ashamedly,-0.425,0.64031
ass,-0.625,1.43178
assassination,-0.725,0.9434
assassinations,-0.675,1.34536
assault,-0.7,0.9798
assaulted,-0.6,1.28062
assaulting,-0.575,1.1
assaultive,-0.7,0.87178
assaults,-0.625,0.92195
asset,0.375,0.80623
assets,0.175,1.00499
assfucking,-0.625,1.43178
assholes,-0.7,0.74833
assurance,0.35,0.4899
assurances,0.35,0.4899
assure,0.35,0.4899
assured,0.375,0.67082
assuredly,0.4,0.66332
assuredness,0.35,0.8
assurer,0.225,1.13578
assurers,0.275,0.9434
assures,0.325,0.45826
assurgent,0.325,0.9
assuring,0.4,0.66332
assuror,0.125,0.67082
assurors,0.175,1.34536
astonished,0.4,0.8
astound,0.425,1.26886
astounded,0.45,0.9798
astounding,0.45,1.4
astoundingly,0.525,1.44568
astounds,0.525,1.22066
attachment,0.3,0.9798
attachments,0.275,0.7
attack,-0.525,0.83066
attacked,-0.5,1.78885
attacker,-0.675,0.9
attackers,-0.675,0.64031
attacking,-0.5,0.89443
attacks,-0.475,0.9434
attract,0.375,0.92195
attractancy,0.225,0.7
attractant,0.325,0.9
attractants,0.35,0.8
attracted,0.45,0.6
attracting,0.525,0.83066
attraction,0.5,0.7746
attractions,0.45,0.87178
attractive,0.475,0.53852
attractively,0.55,0.6
attractiveness,0.45,1.16619
attractivenesses,0.525,0.7
attractor,0.3,1.16619
attractors,0.3,0.87178
attracts,0.425,1.00499
audacious,0.225,2.02237
authority,0.075,0.64031
aversion,-0.475,1.04403
aversions,-0.275,1.13578
aversive,-0.4,0.66332
aversively,-0.2,1.53623
avert,-0.175,0.78102
averted,-0.075,1.00499
averts,-0.1,1.0198
avid,0.3,0.87178
avoid,-0.3,0.6
avoidance,-0.425,0.45826
avoidances,-0.275,0.53852
avoided,-0.35,0.4899
avoider,-0.45,0.6
avoiders,-0.35,0.66332
avoiding,-0.35,0.91652
avoids,-0.175,0.45826
await,0.1,0.4899
awaited,-0.025,0.83066
awaits,0.075,0.78102
award,0.625,0.92195
awardable,0.6,0.8
awarded,0.425,0.78102
awardee,0.45,0.6
awardees,0.3,0.74833
awarder,0.225,1.04403
awarders,0.325,1.18743
awarding,0.475,0.7
awards,0.5,0.44721
awesome,0.775,0.83066
awful,-0.5,2.04939
awkward,-0.15,1.56205
awkwardly,-0.325,0.45826
awkwardness,-0.175,1.41774
axe,-0.1,0.8
axed,-0.325,0.78102
backed,0.025,0.3
backing,0.025,0.83066
backs,-0.05,0.4
bad,-0.625,0.67082
badass,0.35,1.26491
badly,-0.525,0.7
bailout,-0.1,1.35647
bamboozle,-0.375,1.0247
bamboozled,-0.375,1.11803
bamboozles,-0.375,1.0247
ban,-0.65,1.0198
banish,-0.475,0.9434
bankrupt,-0.65,1.0198
bankster,-0.525,0.53852
banned,-0.5,1.0
bargain,0.2,1.16619
barrier,-0.125,0.92195
bashful,-0.025,1.13578
bashfully,0.05,0.9798
bashfulness,-0.2,0.9798
bastard,-0.625,0.67082
bastardies,-0.45,0.87178
bastardise,-0.525,0.83066
bastardised,-0.575,0.9
bastardises,-0.575,1.18743
bastardising,-0.65,0.8
bastardization,-0.6,1.28062
bastardizations,-0.525,0.7
bastardize,-0.6,0.66332
bastardized,-0.5,0.7746
bastardizes,-0.45,0.87178
bastardizing,-0.575,0.9
bastardly,-0.675,0.64031
bastards,-0.75,0.63246
bastardy,-0.675,1.1
battle,-0.4,1.28062
battled,-0.3,0.87178
battlefield,-0.4,0.8
battlefields,-0.225,1.22066
battlefront,-0.3,0.87178
battlefronts,-0.2,1.16619
battleground,-0.425,0.78102
battlegrounds,-0.15,1.35647
battlement,-0.1,0.8
battlements,-0.1,0.66332
battler,-0.2,1.4
battlers,-0.05,0.9798
battles,-0.4,0.4899
battleship,-0.025,1.3
battleships,-0.125,0.80623
battlewagon,-0.075,0.64031
battlewagons,-0.125,0.67082
battling,-0.275,1.04403
beaten,-0.45,0.6
beatific,0.45,1.6
beating,-0.5,0.63246
beaut,0.4,1.2
beauteous,0.625,1.0247
beauteously,0.65,0.8
beauteousness,0.675,1.00499
beautician,0.3,0.9798
beauticians,0.1,0.66332
beauties,0.6,0.8
beautification,0.475,0.7
beautifications,0.6,0.8
beautified,0.525,0.7
beautifier,0.425,0.64031
beautifiers,0.425,0.78102
beautifies,0.45,0.74833
beautiful,0.725,0.7
beautifuler,0.525,0.83066
beautifulest,0.65,0.8
beautifully,0.675,0.64031
beautifulness,0.65,0.8
beautify,0.575,0.45826
beautifying,0.575,0.78102
beauts,0.425,0.78102
beauty,0.7,0.74833
belittle,-0.475,0.53852
belittled,-0.5,1.0
beloved,0.575,0.45826
benefic,0.35,0.4899
benefice,0.1,0.66332
beneficed,0.275,0.7
beneficence,0.7,0.87178
beneficences,0.375,0.67082
beneficent,0.575,0.45826
beneficently,0.55,0.6
benefices,0.275,0.83066
beneficial,0.475,0.53852
beneficially,0.6,0.8
beneficialness,0.425,0.64031
beneficiaries,0.45,1.16619
beneficiary,0.525,0.83066
beneficiate,0.25,1.18322
beneficiation,0.1,1.0198
benefit,0.5,0.63246
benefits,0.4,0.4899
benefitted,0.425,0.64031
benefitting,0.475,0.7
benevolence,0.425,1.1
benevolences,0.475,1.64012
benevolent,0.675,0.78102
benevolently,0.35,1.11355
